time,irradiance,power,theoretical_power,temp,humidity,wind_speed,cloud_cover (%),gti,precipitation
01-09-2021 05:00,2,0,0.3631824,26.199,86.982,7.404,60.072,0.031,0
01-09-2021 05:05,3,0,0.5447736,26.215,86.994,7.359,63.332,0.152,0
01-09-2021 05:10,2,0,0.3631824,26.23,86.956,7.326,66.991,0.42,0
01-09-2021 05:15,2,0,0.3631824,26.243,86.873,7.305,71.062,0.859,0
01-09-2021 05:20,2,0,0.3631824,26.256,86.75,7.294,75.381,1.461,0
01-09-2021 05:25,2,0,0.3631824,26.269,86.593,7.292,79.789,2.216,0
01-09-2021 05:30,2,0,0.3631824,26.282,86.407,7.297,84.125,3.118,0
01-09-2021 05:35,3,0,0.5447736,26.297,86.199,7.308,88.227,4.157,0
01-09-2021 05:40,1,0,0.1815912,26.313,85.973,7.323,91.935,5.326,0
01-09-2021 05:45,2,0,0.3631824,26.331,85.735,7.341,95.087,6.615,0
01-09-2021 05:50,3,0,0.5447736,26.351,85.49,7.361,97.523,8.018,0
01-09-2021 05:55,2,0,0.3631824,26.374,85.244,7.381,99.081,9.525,0
01-09-2021 06:00,2,0,0.3631824,26.401,85.003,7.399,99.809,11.425,0
01-09-2021 06:05,2,0,0.3631824,26.432,84.768,7.415,100,14.253,0
01-09-2021 06:10,2,0,0.3631824,26.467,84.54,7.426,100,18.466,0
01-09-2021 06:15,2,0,0.3631824,26.506,84.316,7.433,100,24.156,0
01-09-2021 06:25,3,0,0.5447736,26.594,83.869,7.427,100,39.031,0
01-09-2021 06:30,2,0,0.3631824,26.643,83.639,7.412,100,47.753,0
01-09-2021 06:35,4,0,0.7263648,26.696,83.402,7.388,100,57.021,0
01-09-2021 06:40,4,0,0.7263648,26.751,83.153,7.354,100,66.602,0
01-09-2021 06:45,4,0,0.7263648,26.81,82.891,7.309,100,76.265,0
01-09-2021 06:50,7,0.08,1.2711384,26.871,82.612,7.251,100,85.776,0
01-09-2021 06:55,8,0.52,1.4527296,26.935,82.313,7.18,100,94.905,0
01-09-2021 07:00,13,0.78,2.3606856,27.001,81.992,7.095,100,103.662,0
01-09-2021 07:05,15,0.99,2.723868,27.069,81.649,6.996,100,112.328,0
01-09-2021 07:10,16,1.29,2.9054592,27.138,81.287,6.883,100,121.221,0
01-09-2021 07:15,17,1.46,3.0870504,27.209,80.912,6.759,100,130.45,0
01-09-2021 07:20,20,1.78,3.631824,27.281,80.53,6.627,100,139.895,0
01-09-2021 07:25,23,2.06,4.1765976,27.352,80.148,6.487,100,149.431,0
01-09-2021 07:30,28,2.54,5.0845536,27.423,79.773,6.343,100,158.937,0
01-09-2021 07:35,28,2.71,5.0845536,27.492,79.411,6.197,100,168.292,0
01-09-2021 07:40,27,2.8,4.9029624,27.56,79.068,6.05,100,177.372,0
01-09-2021 07:45,29,2.82,5.2661448,27.625,78.75,5.905,100,186.055,0
01-09-2021 07:50,29,2.91,5.2661448,27.687,78.465,5.764,100,194.22,0
01-09-2021 07:55,31,3.21,5.6293272,27.745,78.219,5.63,100,201.744,0
01-09-2021 08:00,28,3.2,5.0845536,27.799,78.016,5.503,100,208.52,0
01-09-2021 08:05,29,3.27,5.2661448,27.848,77.859,5.387,100,214.521,0
01-09-2021 08:10,31,3.19,5.6293272,27.895,77.744,5.28,100,219.815,0
01-09-2021 08:15,36,3.5,6.5372832,27.938,77.663,5.183,100,224.55,0
01-09-2021 08:20,35,3.75,6.355692,27.98,77.606,5.096,100,228.893,0
01-09-2021 08:25,39,4.53,7.0820568,28.022,77.565,5.018,100,233.009,0
01-09-2021 08:30,48,5.27,8.7163776,28.065,77.532,4.949,100,237.064,0
01-09-2021 08:35,49,5.68,8.8979688,28.11,77.496,4.888,100,241.222,0
01-09-2021 08:40,53,5.97,9.6243336,28.158,77.45,4.836,100,245.649,0
01-09-2021 08:45,62,6.85,11.2586544,28.21,77.385,4.791,100,250.512,0
01-09-2021 08:50,66,7.73,11.9850192,28.267,77.291,4.755,100,255.975,0
01-09-2021 08:55,66,7.43,11.9850192,28.331,77.159,4.725,100,262.205,0
01-09-2021 09:00,66,7.46,11.9850192,28.403,76.983,4.702,100,269.98,0
01-09-2021 09:05,67,7.62,12.1666104,28.482,76.758,4.686,100,280.448,0
01-09-2021 09:10,74,8.43,13.4377488,28.569,76.487,4.674,100,294.387,0
01-09-2021 09:15,78,9.1,14.1641136,28.661,76.177,4.667,100,311.592,0
01-09-2021 09:20,82,9.68,14.8904784,28.757,75.837,4.663,100,331.118,0
01-09-2021 09:25,87,10.18,15.7984344,28.856,75.476,4.661,100,352.023,0
01-09-2021 09:30,90,10.58,16.343208,28.957,75.1,4.659,100,373.364,0
01-09-2021 09:35,99,11.5,17.9775288,29.057,74.718,4.657,100,394.197,0
01-09-2021 09:40,106,12.34,19.2486672,29.155,74.339,4.653,100,413.58,0
01-09-2021 09:45,111,13.5,20.1566232,29.249,73.971,4.647,100,430.57,0
01-09-2021 09:50,122,14.47,22.1541264,29.339,73.622,4.636,100,444.222,0
01-09-2021 09:55,130,15.82,23.606856,29.422,73.301,4.62,100,453.595,0
01-09-2021 10:00,145,17.89,26.330724,29.497,73.014,4.597,100,458.767,0
01-09-2021 10:05,163,20.1,29.5993656,29.564,72.765,4.568,100,461.064,0
01-09-2021 10:10,187,23.21,33.9575544,29.623,72.552,4.53,100,462.146,0
01-09-2021 10:15,205,25.81,37.226196,29.675,72.37,4.484,100,462.983,0
01-09-2021 10:20,231,28.97,41.9475672,29.722,72.211,4.428,100,463.638,0
