time,temperature_2m (°C),cloudcover (%),relative_humidity_2m (%),shortwave_radiation (W/m²)
2021-01-01T00:00,24.1,74,78,0
2021-01-01T01:00,24.4,79,78,0
2021-01-01T02:00,24.9,77,75,36
2021-01-01T03:00,25.5,79,71,166
2021-01-01T04:00,26.4,62,65,366
2021-01-01T05:00,26.8,79,60,494
2021-01-01T06:00,26.9,82,61,522
2021-01-01T07:00,27,58,59,546
2021-01-01T08:00,26.9,69,61,567
2021-01-01T09:00,26.8,52,61,513
2021-01-01T10:00,26.5,53,64,442
2021-01-01T11:00,26,69,64,284
2021-01-01T12:00,25.6,74,69,121
2021-01-01T13:00,25.4,89,71,4
2021-01-01T14:00,25.3,75,72,0
2021-01-01T15:00,25,24,72,0
2021-01-01T16:00,25,20,71,0
2021-01-01T17:00,24.6,53,72,0
2021-01-01T18:00,24.6,87,73,0
2021-01-01T19:00,24.7,85,72,0
2021-01-01T20:00,24.6,99,74,0
2021-01-01T21:00,24.9,100,74,0
2021-01-01T22:00,24.6,99,77,0
2021-01-01T23:00,24.4,100,78,0
2021-01-02T00:00,24.1,100,80,0
2021-01-02T01:00,24,99,82,0
2021-01-02T02:00,24.4,100,82,27
2021-01-02T03:00,24,100,89,78
2021-01-02T04:00,23.9,100,90,64
2021-01-02T05:00,24.2,100,89,144
2021-01-02T06:00,24.3,100,89,143
2021-01-02T07:00,24.4,99,89,175
2021-01-02T08:00,24.3,100,90,157
2021-01-02T09:00,25,95,84,253
2021-01-02T10:00,25.5,96,81,289
2021-01-02T11:00,25.2,85,82,141
2021-01-02T12:00,24.9,47,81,77
2021-01-02T13:00,24.8,39,81,4
2021-01-02T14:00,24.7,47,82,0
2021-01-02T15:00,24.6,51,82,0
2021-01-02T16:00,24.6,41,81,0
2021-01-02T17:00,24.5,91,82,0
2021-01-02T18:00,24.5,89,82,0
2021-01-02T19:00,24.5,94,82,0
2021-01-02T20:00,24.4,97,83,0
2021-01-02T21:00,24.1,92,85,0
2021-01-02T22:00,23.6,85,91,0
2021-01-02T23:00,23.6,46,90,0
2021-01-03T00:00,23.8,52,88,0
2021-01-03T01:00,24.1,32,86,0
2021-01-03T02:00,25,81,83,46
2021-01-03T03:00,26.3,89,76,197
2021-01-03T04:00,26.8,79,75,338
2021-01-03T05:00,26.5,74,77,385
2021-01-03T06:00,26.9,49,76,525
2021-01-03T07:00,26.8,52,77,483
2021-01-03T08:00,26.9,46,78,544
2021-01-03T09:00,27,38,78,565
2021-01-03T10:00,26.6,36,79,393
2021-01-03T11:00,26.1,32,79,238
2021-01-03T12:00,25.2,37,84,98
2021-01-03T13:00,24.7,30,87,5
2021-01-03T14:00,24.5,33,88,0
2021-01-03T15:00,24.5,32,87,0
2021-01-03T16:00,24.5,40,87,0
2021-01-03T17:00,24.5,36,87,0
2021-01-03T18:00,24.6,25,86,0
2021-01-03T19:00,24.7,39,84,0
2021-01-03T20:00,24.4,66,85,0
2021-01-03T21:00,24.2,24,85,0
2021-01-03T22:00,24,15,86,0
2021-01-03T23:00,23.6,29,88,0
2021-01-04T00:00,23.8,28,87,0
2021-01-04T01:00,24,56,87,0
2021-01-04T02:00,24.6,53,85,42
2021-01-04T03:00,25.6,54,81,172
2021-01-04T04:00,26.2,61,77,333
2021-01-04T05:00,26.1,61,78,421
2021-01-04T06:00,26.2,65,77,495
2021-01-04T07:00,26.5,49,77,605
2021-01-04T08:00,26.6,70,76,614
2021-01-04T09:00,26.7,48,75,532
2021-01-04T10:00,26.7,59,74,395
2021-01-04T11:00,26.5,14,76,289
2021-01-04T12:00,25.4,13,82,116
2021-01-04T13:00,25,38,83,5
2021-01-04T14:00,25,77,83,0
2021-01-04T15:00,24.7,60,84,0
2021-01-04T16:00,24.4,39,88,0
2021-01-04T17:00,24.2,49,88,0
2021-01-04T18:00,24,50,91,0
2021-01-04T19:00,23.9,57,91,0
2021-01-04T20:00,23.9,67,92,0
2021-01-04T21:00,23.8,100,95,0
2021-01-04T22:00,24,80,94,0
2021-01-04T23:00,24,96,94,0
2021-01-05T00:00,23.9,89,92,0
2021-01-05T01:00,24,93,90,0
2021-01-05T02:00,24.1,98,94,25
2021-01-05T03:00,24.6,100,93,91
2021-01-05T04:00,25,99,90,130
2021-01-05T05:00,25.4,99,89,212
2021-01-05T06:00,25.7,99,87,272
2021-01-05T07:00,25.9,99,84,290
2021-01-05T08:00,25.6,99,86,259
2021-01-05T09:00,26,97,85,307
2021-01-05T10:00,25.4,92,87,168
2021-01-05T11:00,25.5,70,88,157
2021-01-05T12:00,24.6,58,92,80
2021-01-05T13:00,24.5,99,92,4
2021-01-05T14:00,24.4,98,91,0
2021-01-05T15:00,24.5,97,94,0
2021-01-05T16:00,24.6,98,93,0
2021-01-05T17:00,24.5,100,93,0
2021-01-05T18:00,24.5,96,93,0
2021-01-05T19:00,24.4,99,94,0
2021-01-05T20:00,24.3,99,93,0
2021-01-05T21:00,24.4,97,92,0
2021-01-05T22:00,24.2,100,93,0
2021-01-05T23:00,24.2,98,94,0
2021-01-06T00:00,23.4,79,96,0
2021-01-06T01:00,23.8,83,94,0
2021-01-06T02:00,25.1,31,90,40
