Time,Irradiance [W/m²],Power [kW],Power = Radiation x Area x Efficiency (scaled and expressed in kW)
2021-09-01 05:00:00,2,0.0,0.3631824
2021-09-01 05:05:00,3,0.0,0.5447736
2021-09-01 05:10:00,2,0.0,0.3631824
2021-09-01 05:15:00,2,0.0,0.3631824
2021-09-01 05:20:00,2,0.0,0.3631824
2021-09-01 05:25:00,2,0.0,0.3631824
2021-09-01 05:30:00,2,0.0,0.3631824
2021-09-01 05:35:00,3,0.0,0.5447736
2021-09-01 05:40:00,1,0.0,0.1815912
2021-09-01 05:45:00,2,0.0,0.3631824
2021-09-01 05:50:00,3,0.0,0.5447736
2021-09-01 05:55:00,2,0.0,0.3631824
2021-09-01 06:00:00,2,0.0,0.3631824
2021-09-01 06:05:00,2,0.0,0.3631824
2021-09-01 06:10:00,2,0.0,0.3631824
2021-09-01 06:15:00,2,0.0,0.3631824
2021-09-01 06:25:00,3,0.0,0.5447736
2021-09-01 06:30:00,2,0.0,0.3631824
2021-09-01 06:35:00,4,0.0,0.7263647999999999
2021-09-01 06:40:00,4,0.0,0.7263647999999999
2021-09-01 06:45:00,4,0.0,0.7263647999999999
2021-09-01 06:50:00,7,0.08,1.2711384
2021-09-01 06:55:00,8,0.52,1.4527296
2021-09-01 07:00:00,13,0.78,2.3606856
2021-09-01 07:05:00,15,0.99,2.723868
2021-09-01 07:10:00,16,1.29,2.9054592
2021-09-01 07:15:00,17,1.46,3.087050399999999
2021-09-01 07:20:00,20,1.78,3.631824
2021-09-01 07:25:00,23,2.06,4.1765976
2021-09-01 07:30:00,28,2.54,5.0845536
2021-09-01 07:35:00,28,2.71,5.0845536
2021-09-01 07:40:00,27,2.8,4.9029624
2021-09-01 07:45:00,29,2.82,5.2661448
2021-09-01 07:50:00,29,2.91,5.2661448
2021-09-01 07:55:00,31,3.21,5.6293272
2021-09-01 08:00:00,28,3.2,5.0845536
2021-09-01 08:05:00,29,3.27,5.2661448
2021-09-01 08:10:00,31,3.19,5.6293272
2021-09-01 08:15:00,36,3.5,6.5372832
2021-09-01 08:20:00,35,3.75,6.355692
2021-09-01 08:25:00,39,4.53,7.082056799999999
2021-09-01 08:30:00,48,5.27,8.7163776
2021-09-01 08:35:00,49,5.68,8.897968800000001
2021-09-01 08:40:00,53,5.97,9.6243336
2021-09-01 08:45:00,62,6.85,11.2586544
2021-09-01 08:50:00,66,7.73,11.9850192
2021-09-01 08:55:00,66,7.43,11.9850192
2021-09-01 09:00:00,66,7.46,11.9850192
2021-09-01 09:05:00,67,7.62,12.1666104
2021-09-01 09:10:00,74,8.43,13.4377488
2021-09-01 09:15:00,78,9.1,14.1641136
2021-09-01 09:20:00,82,9.68,14.8904784
2021-09-01 09:25:00,87,10.18,15.7984344
2021-09-01 09:30:00,90,10.58,16.343208
2021-09-01 09:35:00,99,11.5,17.97752879999999
2021-09-01 09:40:00,106,12.34,19.2486672
2021-09-01 09:45:00,111,13.5,20.1566232
2021-09-01 09:50:00,122,14.47,22.1541264
2021-09-01 09:55:00,130,15.82,23.606856
2021-09-01 10:00:00,145,17.89,26.330724
2021-09-01 10:05:00,163,20.1,29.5993656
2021-09-01 10:10:00,187,23.21,33.9575544
2021-09-01 10:15:00,205,25.81,37.22619599999999
2021-09-01 10:20:00,231,28.97,41.94756719999999
2021-09-01 10:25:00,266,33.46,48.30325919999999
2021-09-01 10:30:00,286,36.61,51.93508319999999
2021-09-01 10:35:00,317,40.16,57.56441039999999
2021-09-01 10:40:00,357,45.13,64.82805839999999
2021-09-01 10:45:00,391,49.67,71.0021592
2021-09-01 10:50:00,439,55.31,79.7185368
2021-09-01 10:55:00,489,61.98,88.7980968
2021-09-01 11:00:00,543,68.16,98.60402160000001
2021-09-01 11:05:00,600,75.05,108.95472
